Age Range,Males,Females,WHO World Standard,Counts for Males,Counts for Females
0 to 04,20.4,18.3,8.86,181,162
05 to 09,12.6,10,8.69,109,87
10 to 14,12.6,11.7,8.6,108,101
15 to 19,20.7,20.6,8.47,175,174
20 to 24,31.2,35.5,8.22,256,292
25 to 29,49,75.7,7.93,389,600
30 to 34,64,109.4,7.61,487,833
35 to 39,83,161.9,7.15,593,1158
40 to 44,123.4,257,6.59,813,1694
45 to 49,209.6,412.7,6.04,1266,2493
50 to 54,373.2,574.8,5.37,2004,3087
55 to 59,698,731.8,4.55,3176,3330
60 to 64,1178.2,994.3,3.72,4383,3699
65 to 69,1743.4,1283,2.96,5160,3798
70 to 74,2363.7,1530.1,2.21,5224,3382
75 to 79,2904.9,1832.9,1.52,4415,2786
80 to 84,3260.9,2100,0.91,2967,1911
85 to 89,3643.2,2260.7,0.63,2295,1424
90+,3654.6,2114.1,0.63,2302,1332
,,,,36303,32343
